t, s
0.000000000000000000e+00,0.000000000000000000e+00
1.501501501501501468e-05,7.450305980266272617e-03
3.003003003003002936e-05,1.478291313924130247e-02
4.504504504504504574e-05,2.199301284960029565e-02
6.006006006006005873e-05,2.907597779031153781e-02
7.507507507507507171e-05,3.602736338610285777e-02
9.009009009009009148e-05,4.284290906191869086e-02
1.051051051051050977e-04,4.951853931400217873e-02
1.201201201201201175e-04,5.605036459937639409e-02
1.351351351351351372e-04,6.243468204563519530e-02
1.501501501501501434e-04,6.866797598308610473e-02
1.651651651651651496e-04,7.474691830141659554e-02
1.801801801801801830e-04,8.066836863317952688e-02
1.951951951951951892e-04,8.642937436651447480e-02
2.102102102102101954e-04,9.202717048963851565e-02
2.252252252252252287e-04,9.745917926975256051e-02
2.402402402402402349e-04,1.027230097691184812e-01
2.552552552552552682e-04,1.078164572011666850e-01
2.702702702702702744e-04,1.127375021295943802e-01
2.852852852852852806e-04,1.174843095135113952e-01
3.003003003003002869e-04,1.220552276017821819e-01
3.153153153153152931e-04,1.264487866798013060e-01
3.303303303303302993e-04,1.306636976720229604e-01
3.453453453453453597e-04,1.346988506036451150e-01
3.603603603603603659e-04,1.385533129249237605e-01
3.753753753753753721e-04,1.422263277016647121e-01
3.903903903903903783e-04,1.457173116755064168e-01
4.054054054054053845e-04,1.490258531976702272e-01
4.204204204204203908e-04,1.521517100399134848e-01
4.354354354354354512e-04,1.550948070864744677e-01
4.504504504504504574e-04,1.578552339108482971e-01
4.654654654654654636e-04,1.604332422412792225e-01
4.804804804804804698e-04,1.628292433188959498e-01
4.954954954954955302e-04,1.650438051524543148e-01
5.105105105105105364e-04,1.670776496736855465e-01
5.255255255255255427e-04,1.689316497972766229e-01
5.405405405405405489e-04,1.706068263895361425e-01
5.555555555555555551e-04,1.721043451498190102e-01
5.705705705705705613e-04,1.734255134088012185e-01
5.855855855855855675e-04,1.745717768477099419e-01
6.006006006006005737e-04,1.755447161426224589e-01
6.156156156156155799e-04,1.763460435379547164e-01
6.306306306306305861e-04,1.769775993532609060e-01
6.456456456456455923e-04,1.774413484274646458e-01
6.606606606606605986e-04,1.777393765046367258e-01
6.756756756756757132e-04,1.778738865654247714e-01
6.906906906906907194e-04,1.778471951082287450e-01
7.057057057057057256e-04,1.776617283841991635e-01
7.207207207207207318e-04,1.773200185901159798e-01
7.357357357357357380e-04,1.768247000231832344e-01
7.507507507507507442e-04,1.761785052017483810e-01
7.657657657657657505e-04,1.753842609559263244e-01
7.807807807807807567e-04,1.744448844920750974e-01
7.957957957957957629e-04,1.733633794350357693e-01
8.108108108108107691e-04,1.721428318520095424e-01
8.258258258258257753e-04,1.707864062619047218e-01
8.408408408408407815e-04,1.692973416339416393e-01
