t, s
0.000000000000000000e+00,2.000000000000000000e+00
1.501501501501501434e-04,1.946671873477177517e+00
3.003003003003002869e-04,1.894777606546128146e+00
4.504504504504504032e-04,1.844290507940180124e+00
6.006006006006005737e-04,1.795184285124616475e+00
7.507507507507507442e-04,1.747433039512634956e+00
9.009009009009008064e-04,1.701011261721248946e+00
1.051051051051051085e-03,1.655893826867121943e+00
1.201201201201201147e-03,1.612055989902314135e+00
1.351351351351351210e-03,1.569473380989917510e+00
1.501501501501501488e-03,1.528122000919541534e+00
1.651651651651651551e-03,1.487978216562608758e+00
1.801801801801801613e-03,1.449018756367408178e+00
1.951951951951951892e-03,1.411220705893848848e+00
2.102102102102102171e-03,1.374561503387848660e+00
2.252252252252252233e-03,1.339018935395285048e+00
2.402402402402402295e-03,1.304571132415428547e+00
2.552552552552552357e-03,1.271196564593772838e+00
2.702702702702702419e-03,1.238874037454171573e+00
2.852852852852852915e-03,1.207582687670176513e+00
3.003003003003002977e-03,1.177301978875481492e+00
3.153153153153153039e-03,1.148011697513352525e+00
3.303303303303303101e-03,1.119691948724932828e+00
3.453453453453453163e-03,1.092323152276300613e+00
3.603603603603603225e-03,1.065886038524148649e+00
3.753753753753753721e-03,1.040361644419956377e+00
3.903903903903903783e-03,1.015731309552519335e+00
4.054054054054054279e-03,9.919766722286831317e-01
4.204204204204204341e-03,9.690796655921485314e-01
4.354354354354354403e-03,9.470225137801853155e-01
4.504504504504504465e-03,9.257877281181046136e-01
4.654654654654654528e-03,9.053581033513260490e-01
4.804804804804804590e-03,8.857167139148780510e-01
4.954954954954954652e-03,8.668469102401601400e-01
5.105105105105104714e-03,8.487323150987993170e-01
5.255255255255254776e-03,8.313568199834173722e-01
5.405405405405404838e-03,8.147045815251396927e-01
5.555555555555554900e-03,7.987600179476526119e-01
5.705705705705705830e-03,7.835078055576325529e-01
5.855855855855855892e-03,7.689328752713497916e-01
6.006006006006005954e-03,7.550204091772605430e-01
6.156156156156156016e-03,7.417558371343901946e-01
6.306306306306306078e-03,7.291248334063089587e-01
6.456456456456456140e-03,7.171133133305016560e-01
6.606606606606606202e-03,7.057074300229269070e-01
6.756756756756756264e-03,6.948935711175610042e-01
6.906906906906906327e-03,6.846583555407201871e-01
7.057057057057056389e-03,6.749886303199474913e-01
7.207207207207206451e-03,6.658714674272578904e-01
7.357357357357357380e-03,6.572941606565234629e-01
7.507507507507507442e-03,6.492442225347829776e-01
7.657657657657657505e-03,6.417093812672614028e-01
7.807807807807807567e-03,6.346775777158770726e-01
7.957957957957957629e-03,6.281369624110157979e-01
8.108108108108108558e-03,6.220758925963523200e-01
8.258258258258257753e-03,6.164829293064901794e-01
8.408408408408408682e-03,6.113468344772012841e-01
8.558558558558557877e-03,6.066565680880320333e-01
8.708708708708708807e-03,6.024012853370546150e-01
8.858858858858858001e-03,5.985703338475290014e-01
9.009009009009008931e-03,5.951532509062513743e-01
9.159159159159158126e-03,5.921397607333542812e-01
9.309309309309309055e-03,5.895197717833298157e-01
9.459459459459458250e-03,5.872833740770415645e-01
9.609609609609609179e-03,5.854208365644935075e-01
9.759759759759760109e-03,5.839226045181225011e-01
9.909909909909909304e-03,5.827792969563796444e-01
1.006006006006006023e-02,5.819817040973669364e-01
1.021021021021020943e-02,5.815207848422916381e-01
1.036036036036036036e-02,5.813876642885067447e-01
1.051051051051050955e-02,5.815736312718986500e-01
1.066066066066066048e-02,5.820701359383881890e-01
1.081081081081080968e-02,5.828687873443065826e-01
1.096096096096096061e-02,5.839613510854140266e-01
1.111111111111110980e-02,5.853397469543186737e-01
1.126126126126126073e-02,5.869960466260668586e-01
1.141141141141141166e-02,5.889224713716609827e-01
1.156156156156156085e-02,5.911113897992745780e-01
1.171171171171171178e-02,5.935553156229254057e-01
1.186186186186186098e-02,5.962469054583727779e-01
1.201201201201201191e-02,5.991789566459995164e-01
1.216216216216216110e-02,6.023444051004487321e-01
1.231231231231231203e-02,6.057363231867758380e-01
1.246246246246246123e-02,6.093479176228839833e-01
1.261261261261261216e-02,6.131725274080062071e-01
1.276276276276276135e-02,6.172036217770024980e-01
1.291291291291291228e-02,6.214347981802381682e-01
1.306306306306306321e-02,6.258597802888090644e-01
1.321321321321321240e-02,6.304724160248842413e-01
1.336336336336336333e-02,6.352666756169309537e-01
1.351351351351351253e-02,6.402366496795948159e-01
1.366366366366366346e-02,6.453765473180019807e-01
1.381381381381381265e-02,6.506806942562546325e-01
1.396396396396396358e-02,6.561435309898915325e-01
1.411411411411411278e-02,6.617596109620844658e-01
1.426426426426426371e-02,6.675235987633445500e-01
1.441441441441441290e-02,6.734302683545114743e-01
1.456456456456456383e-02,6.794745013127978517e-01
1.471471471471471476e-02,6.856512851006697495e-01
1.486486486486486396e-02,6.919557113573318041e-01
1.501501501501501488e-02,6.983829742126026474e-01
1.516516516516516408e-02,7.049283686229492751e-01
1.531531531531531501e-02,7.115872887294694138e-01
1.546546546546546420e-02,7.183552262375938469e-01
1.561561561561561513e-02,7.252277688182937609e-01
1.576576576576576433e-02,7.322005985305757303e-01
1.591591591591591526e-02,7.392694902650460698e-01
1.606606606606606619e-02,7.464303102083280628e-01
1.621621621621621712e-02,7.536790143281211218e-01
1.636636636636636458e-02,7.610116468786838340e-01
1.651651651651651551e-02,7.684243389265337232e-01
1.666666666666666644e-02,7.759133068961467927e-01
1.681681681681681736e-02,7.834748511354536760e-01
1.696696696696696482e-02,7.911053545009163468e-01
1.711711711711711575e-02,7.988012809619853272e-01
1.726726726726726668e-02,8.065591742247244511e-01
1.741741741741741761e-02,8.143756563744029009e-01
1.756756756756756507e-02,8.222474265368484581e-01
1.771771771771771600e-02,8.301712595583603527e-01
1.786786786786786693e-02,8.381440047039780961e-01
1.801801801801801786e-02,8.461625843739122299e-01
1.816816816816816879e-02,8.542239928379296021e-01
1.831831831831831625e-02,8.623252949875046536e-01
1.846846846846846718e-02,8.704636251055337670e-01
1.861861861861861811e-02,8.786361856534217196e-01
1.876876876876876904e-02,8.868402460753466165e-01
1.891891891891891650e-02,8.950731416195083501e-01
1.906906906906906743e-02,9.033322721761742891e-01
1.921921921921921836e-02,9.116151011323285758e-01
1.936936936936936929e-02,9.199191542427398449e-01
1.951951951951952022e-02,9.282420185172592930e-01
1.966966966966966768e-02,9.365813411241645792e-01
1.981981981981981861e-02,9.449348283093650380e-01
1.996996996996996954e-02,9.533002443312856844e-01
2.012012012012012047e-02,9.616754104112497092e-01
2.027027027027026793e-02,9.700582036991782786e-01
2.042042042042041886e-02,9.784465562544299999e-01
2.057057057057056978e-02,9.868384540416037520e-01
2.072072072072072071e-02,9.952319359411281319e-01
2.087087087087087164e-02,1.003625092774463212e+00
2.102102102102101910e-02,1.012016066343742526e+00
2.117117117117117003e-02,1.020403048485684749e+00
2.132132132132132096e-02,1.028784280139601215e+00
2.147147147147147189e-02,1.037158050429336065e+00
2.162162162162161935e-02,1.045522695758967835e+00
2.177177177177177028e-02,1.053876598922106611e+00
2.192192192192192121e-02,1.062218188224626214e+00
2.207207207207207214e-02,1.070545936620662886e+00
2.222222222222221960e-02,1.078858360861724153e+00
2.237237237237237053e-02,1.087154020658742226e+00
2.252252252252252146e-02,1.095431517856919168e+00
2.267267267267267239e-02,1.103689495623200179e+00
2.282282282282282332e-02,1.111926637646223348e+00
2.297297297297297078e-02,1.120141667348589776e+00
2.312312312312312171e-02,1.128333347111300178e+00
2.327327327327327264e-02,1.136500477510206331e+00
2.342342342342342357e-02,1.144641896564328132e+00
2.357357357357357103e-02,1.152756478995883960e+00
2.372372372372372196e-02,1.160843135501890888e+00
2.387387387387387289e-02,1.168900812037184878e+00
2.402402402402402382e-02,1.176928489108715503e+00
2.417417417417417475e-02,1.184925181080976664e+00
2.432432432432432221e-02,1.192889935492422948e+00
2.447447447447447313e-02,1.200821832382739096e+00
2.462462462462462406e-02,1.208719983630815342e+00
2.477477477477477499e-02,1.216583532303295190e+00
2.492492492492492245e-02,1.224411652013557283e+00
2.507507507507507338e-02,1.232203546290997043e+00
2.522522522522522431e-02,1.239958447960467947e+00
2.537537537537537524e-02,1.247675618531759234e+00
2.552552552552552270e-02,1.255354347598969467e+00
2.567567567567567363e-02,1.262993952249650054e+00
2.582582582582582456e-02,1.270593776483589288e+00
2.597597597597597549e-02,1.278153190641106995e+00
2.612612612612612642e-02,1.285671590840738121e+00
2.627627627627627388e-02,1.293148398426171575e+00
2.642642642642642481e-02,1.300583059422331322e+00
