t, s
0.000000000000000000e+00,1.000000000000000000e+01
6.006006006006005737e-04,5.487519051942061132e+00
1.201201201201201147e-03,3.024737318004597775e+00
1.801801801801801613e-03,1.692855574406902264e+00
2.402402402402402295e-03,9.848629965235797812e-01
3.003003003003002977e-03,6.209818441077317175e-01
3.603603603603603225e-03,4.468261403574285140e-01
4.204204204204204341e-03,3.772035902779684591e-01
4.804804804804804590e-03,3.651043531253552743e-01
5.405405405405404838e-03,3.845884256471698848e-01
6.006006006006005954e-03,4.213425572733804358e-01
6.606606606606606202e-03,4.674693667255365170e-01
7.207207207207206451e-03,5.186118721768480100e-01
7.807807807807807567e-03,5.723667494084221374e-01
8.408408408408408682e-03,6.274087358982178841e-01
9.009009009009008931e-03,6.830074594859851800e-01
9.609609609609609179e-03,7.387608147827897653e-01
1.021021021021020943e-02,7.944478349651262761e-01
1.081081081081080968e-02,8.499475035166135228e-01
1.141141141141141166e-02,9.051939529539136942e-01
1.201201201201201191e-02,9.601517426194963178e-01
1.261261261261261216e-02,1.014802216505650279e+00
1.321321321321321240e-02,1.069135975261552574e+00
1.381381381381381265e-02,1.123148722128883392e+00
1.441441441441441290e-02,1.176838970678621976e+00
1.501501501501501488e-02,1.230206779926836802e+00
1.561561561561561513e-02,1.283253056378599766e+00
1.621621621621621712e-02,1.335979168913997484e+00
1.681681681681681736e-02,1.388386736306506108e+00
1.741741741741741761e-02,1.440477510003148609e+00
1.801801801801801786e-02,1.492253309471818667e+00
1.861861861861861811e-02,1.543715986556055242e+00
1.921921921921921836e-02,1.594867405836494001e+00
1.981981981981981861e-02,1.645709433824944057e+00
2.042042042042041886e-02,1.696243933032299367e+00
2.102102102102101910e-02,1.746472758725740704e+00
2.162162162162161935e-02,1.796397757169756915e+00
2.222222222222221960e-02,1.846020764685775362e+00
2.282282282282282332e-02,1.895343607163356481e+00
2.342342342342342357e-02,1.944368099820358964e+00
2.402402402402402382e-02,1.993096047100340940e+00
2.462462462462462406e-02,2.041529242645476749e+00
2.522522522522522431e-02,2.089669469310997840e+00
2.582582582582582456e-02,2.137518499202359479e+00
2.642642642642642481e-02,2.185078093724756698e+00
2.702702702702702506e-02,2.232350003639299807e+00
2.762762762762762531e-02,2.279335969122683991e+00
2.822822822822822555e-02,2.326037719828602413e+00
2.882882882882882580e-02,2.372456974949963104e+00
2.942942942942942952e-02,2.418595443281377655e+00
3.003003003003002977e-02,2.464454823281618800e+00
3.063063063063063002e-02,2.510036803135895944e+00
3.123123123123123027e-02,2.555343060817874878e+00
3.183183183183183051e-02,2.600375264151363552e+00
3.243243243243243423e-02,2.645135070871671878e+00
3.303303303303303101e-02,2.689624128686617155e+00
3.363363363363363473e-02,2.733844075337161783e+00
3.423423423423423151e-02,2.777796538657695713e+00
3.483483483483483523e-02,2.821483136635960065e+00
3.543543543543543201e-02,2.864905477472603934e+00
3.603603603603603572e-02,2.908065159640388586e+00
3.663663663663663250e-02,2.950963771943025726e+00
3.723723723723723622e-02,2.993602893573664936e+00
3.783783783783783300e-02,3.035984094173031167e+00
3.843843843843843672e-02,3.078108933887198972e+00
3.903903903903904044e-02,3.119978963425036333e+00
3.963963963963963721e-02,3.161595724115277228e+00
4.024024024024024093e-02,3.202960747963270016e+00
4.084084084084083771e-02,3.244075557707369661e+00
4.144144144144144143e-02,3.284941666874996002e+00
4.204204204204203821e-02,3.325560579838348296e+00
4.264264264264264193e-02,3.365933791869783143e+00
4.324324324324323870e-02,3.406062789196862894e+00
4.384384384384384242e-02,3.445949049057063007e+00
4.444444444444443920e-02,3.485594039752152540e+00
4.504504504504504292e-02,3.524999220702249580e+00
4.564564564564564664e-02,3.564166042499541831e+00
4.624624624624624342e-02,3.603095946961688334e+00
4.684684684684684713e-02,3.641790367184894350e+00
4.744744744744744391e-02,3.680250727596665605e+00
4.804804804804804763e-02,3.718478444008250783e+00
4.864864864864864441e-02,3.756474923666754506e+00
4.924924924924924813e-02,3.794241565306941233e+00
4.984984984984984491e-02,3.831779759202730951e+00
5.045045045045044863e-02,3.869090887218373354e+00
5.105105105105104540e-02,3.906176322859318262e+00
5.165165165165164912e-02,3.943037431322779618e+00
5.225225225225225284e-02,3.979675569547989511e+00
5.285285285285284962e-02,4.016092086266150218e+00
5.345345345345345334e-02,4.052288322050085156e+00
5.405405405405405012e-02,4.088265609363586961e+00
5.465465465465465383e-02,4.124025272610467141e+00
5.525525525525525061e-02,4.159568628183317074e+00
5.585585585585585433e-02,4.194896984511958138e+00
5.645645645645645111e-02,4.230011642111614734e+00
5.705705705705705483e-02,4.264913893630784436e+00
5.765765765765765161e-02,4.299605023898825706e+00
5.825825825825825532e-02,4.334086309973257833e+00
5.885885885885885904e-02,4.368359021186766000e+00
5.945945945945945582e-02,4.402424419193936345e+00
6.006006006006005954e-02,4.436283758017689038e+00
