t, s
0.000000000000000000e+00,0.000000000000000000e+00
2.002002002002002093e-04,-1.370052107104833272e+00
4.004004004004004186e-04,-2.362716329598489651e+00
6.006006006006006821e-04,-3.080066924883060775e+00
8.008008008008008372e-04,-3.596578899933569495e+00
1.001001001001000992e-03,-3.966590360767699330e+00
1.201201201201201364e-03,-4.229747174764489692e+00
1.401401401401401519e-03,-4.414975492706584959e+00
1.601601601601601674e-03,-4.543380171206801599e+00
1.801801801801801830e-03,-4.630359513033949881e+00
2.002002002002001985e-03,-4.687148219099832147e+00
2.202202202202202357e-03,-4.721943153548478378e+00
2.402402402402402729e-03,-4.740724721896886429e+00
2.602602602602602667e-03,-4.747856163067777580e+00
2.802802802802803039e-03,-4.746520803465106297e+00
3.003003003003002977e-03,-4.739041085286438637e+00
3.203203203203203349e-03,-4.727111335224950750e+00
3.403403403403403721e-03,-4.711967596632131716e+00
3.603603603603603659e-03,-4.694511542066908127e+00
3.803803803803804031e-03,-4.675400882081533815e+00
4.004004004004003969e-03,-4.655115329068536312e+00
4.204204204204204341e-03,-4.634004725647323575e+00
4.404404404404404713e-03,-4.612324159983120175e+00
4.604604604604605085e-03,-4.590259586541296066e+00
4.804804804804805457e-03,-4.567946519439231245e+00
5.005005005005004962e-03,-4.545483671442711149e+00
5.205205205205205334e-03,-4.522942905215058040e+00
5.405405405405405705e-03,-4.500376493920597021e+00
5.605605605605606077e-03,-4.477822418685398986e+00
5.805805805805806449e-03,-4.455308233714364796e+00
6.006006006006005954e-03,-4.432853886345013095e+00
6.206206206206206326e-03,-4.410473774604625419e+00
6.406406406406406698e-03,-4.388178248436322981e+00
6.606606606606607070e-03,-4.365974705016211210e+00
6.806806806806807442e-03,-4.343868387912150020e+00
7.007007007007006946e-03,-4.321862970160188944e+00
7.207207207207207318e-03,-4.299960979683500994e+00
7.407407407407407690e-03,-4.278164109681643623e+00
7.607607607607608062e-03,-4.256473445092144203e+00
7.807807807807808434e-03,-4.234889627816998292e+00
8.008008008008007939e-03,-4.213412977270972526e+00
8.208208208208209178e-03,-4.192043578331925424e+00
8.408408408408408682e-03,-4.170781345507096560e+00
8.608608608608608187e-03,-4.149626069746147117e+00
8.808808808808809426e-03,-4.128577452592992358e+00
9.009009009009008931e-03,-4.107635131099805825e+00
9.209209209209210170e-03,-4.086798696000966125e+00
9.409409409409409675e-03,-4.066067704969353436e+00
9.609609609609610914e-03,-4.045441692284660107e+00
9.809809809809810419e-03,-4.024920175883861084e+00
1.001001001001000992e-02,-4.004502662501686849e+00
1.021021021021021116e-02,-3.984188651417539528e+00
1.041041041041041067e-02,-3.963977637185665870e+00
1.061061061061061191e-02,-3.943869111623518720e+00
1.081081081081081141e-02,-3.923862565258890100e+00
1.101101101101101092e-02,-3.903957488382187702e+00
1.121121121121121215e-02,-3.884153371810612487e+00
1.141141141141141166e-02,-3.864449707442177306e+00
1.161161161161161290e-02,-3.844845988656384606e+00
1.181181181181181240e-02,-3.825341710603063383e+00
1.201201201201201191e-02,-3.805936370409603864e+00
1.221221221221221315e-02,-3.786629467328687326e+00
1.241241241241241265e-02,-3.767420502842603991e+00
1.261261261261261389e-02,-3.748308980735926443e+00
1.281281281281281340e-02,-3.729294407145101964e+00
1.301301301301301290e-02,-3.710376290591231196e+00
1.321321321321321414e-02,-3.691554142000588179e+00
1.341341341341341364e-02,-3.672827474716218177e+00
1.361361361361361488e-02,-3.654195804503044709e+00
1.381381381381381439e-02,-3.635658649548249244e+00
1.401401401401401389e-02,-3.617215530458230521e+00
1.421421421421421513e-02,-3.598865970253075641e+00
1.441441441441441464e-02,-3.580609494359234368e+00
1.461461461461461588e-02,-3.562445630600906910e+00
1.481481481481481538e-02,-3.544373909190496441e+00
1.501501501501501488e-02,-3.526393862718405714e+00
1.521521521521521612e-02,-3.508505026142371364e+00
1.541541541541541563e-02,-3.490706936776467817e+00
1.561561561561561687e-02,-3.472999134279900257e+00
1.581581581581581811e-02,-3.455381160645646599e+00
1.601601601601601588e-02,-3.437852560189016415e+00
1.621621621621621712e-02,-3.420412879536157913e+00
1.641641641641641836e-02,-3.403061667612543140e+00
1.661661661661661613e-02,-3.385798475631461635e+00
1.681681681681681736e-02,-3.368622857082522959e+00
1.701701701701701860e-02,-3.351534367720193419e+00
1.721721721721721637e-02,-3.334532565552365657e+00
1.741741741741741761e-02,-3.317617010828969981e+00
1.761761761761761885e-02,-3.300787266030634548e+00
1.781781781781782009e-02,-3.284042895857389954e+00
1.801801801801801786e-02,-3.267383467217430226e+00
1.821821821821821910e-02,-3.250808549215921772e+00
1.841841841841842034e-02,-3.234317713143867401e+00
1.861861861861861811e-02,-3.217910532467024520e+00
1.881881881881881935e-02,-3.201586582814880177e+00
1.901901901901902059e-02,-3.185345441969674951e+00
1.921921921921922183e-02,-3.169186689855485906e+00
1.941941941941941960e-02,-3.153109908527363725e+00
1.961961961961962084e-02,-3.137114682160524026e+00
