t, s
0.000000000000000000e+00,1.000000000000000000e+01
1.501501501501501434e-04,9.415996630323833827e+00
3.003003003003002869e-04,8.863975688542613085e+00
4.504504504504504032e-04,8.342193641695757833e+00
6.006006006006005737e-04,7.849001974326656139e+00
7.507507507507507442e-04,7.382842010431096114e+00
9.009009009009008064e-04,6.942240017587057110e+00
1.051051051051051085e-03,6.525802577888214273e+00
1.201201201201201147e-03,6.132212211141510494e+00
1.351351351351351210e-03,5.760223236581492046e+00
1.501501501501501488e-03,5.408657860103298631e+00
1.651651651651651551e-03,5.076402474724492464e+00
1.801801801801801613e-03,4.762404162655707651e+00
1.951951951951951892e-03,4.465667387993290660e+00
2.102102102102102171e-03,4.185250869645879668e+00
2.252252252252252233e-03,3.920264624672946674e+00
2.402402402402402295e-03,3.669867172748587869e+00
2.552552552552552357e-03,3.433262892969941582e+00
2.702702702702702419e-03,3.209699524708112151e+00
2.852852852852852915e-03,2.998465804651899269e+00
3.003003003003002977e-03,2.798889232622435053e+00
3.153153153153153039e-03,2.610333959141246218e+00
3.303303303303303101e-03,2.432198788116740396e+00
3.453453453453453163e-03,2.263915288375629054e+00
3.603603603603603225e-03,2.104946008107742017e+00
3.753753753753753721e-03,1.954782786615869128e+00
3.903903903903903783e-03,1.812945158067961415e+00
4.054054054054054279e-03,1.678978842237921043e+00
4.204204204204204341e-03,1.552454317494529334e+00
4.354354354354354403e-03,1.432965471556295611e+00
4.504504504504504465e-03,1.320128325774362565e+00
4.654654654654654528e-03,1.213579828936481420e+00
4.804804804804804590e-03,1.112976716803483868e+00
4.954954954954954652e-03,1.017994433796072684e+00
5.105105105105104714e-03,9.283261134450739860e-01
5.255255255255254776e-03,8.436816144027261544e-01
5.405405405405404838e-03,7.637866089872353825e-01
5.555555555555554900e-03,6.883817213977074800e-01
5.705705705705705830e-03,6.172217128926682506e-01
5.855855855855855892e-03,5.500747113728579052e-01
6.006006006006005954e-03,4.867214829484431959e-01
6.156156156156156016e-03,4.269547432026996603e-01
6.306306306306306078e-03,3.705785059888633270e-01
6.456456456456456140e-03,3.174074677147586954e-01
6.606606606606606202e-03,2.672664251812850722e-01
6.756756756756756264e-03,2.199897251461990777e-01
6.906906906906906327e-03,1.754207438843291555e-01
7.057057057057056389e-03,1.334113951095332595e-01
7.207207207207206451e-03,9.382166471278452491e-02
7.357357357357357380e-03,5.651917085508983973e-02
7.507507507507507442e-03,2.137874803341688335e-02
7.657657657657657505e-03,-1.171794618670496391e-02
7.807807807807807567e-03,-4.288280300719726768e-02
7.957957957957957629e-03,-7.222161396996540361e-02
8.108108108108108558e-03,-9.983440337022209121e-02
8.258258258258257753e-03,-1.258157425546873043e-01
8.408408408408408682e-03,-1.502550470918802006e-01
8.558558558558557877e-03,-1.732368577478595739e-01
8.708708708708708807e-03,-1.948411061500205932e-01
8.858858858858858001e-03,-2.151433659732830961e-01
9.009009009009008931e-03,-2.342150904377220400e-01
9.159159159159158126e-03,-2.521238368635785321e-01
9.309309309309309055e-03,-2.689334789889379351e-01
9.459459459459458250e-03,-2.847044077170117760e-01
9.609609609609609179e-03,-2.994937209235164488e-01
9.759759759759760109e-03,-3.133554029203491353e-01
9.909909909909909304e-03,-3.263404941392344938e-01
1.006006006006006023e-02,-3.384972515683255523e-01
1.021021021021020943e-02,-3.498713004456632802e-01
1.036036036036036036e-02,-3.605057776859812435e-01
1.051051051051050955e-02,-3.704414674913341088e-01
1.066066066066066048e-02,-3.797169295715043802e-01
1.081081081081080968e-02,-3.883686203769265433e-01
1.096096096096096061e-02,-3.964310077249049158e-01
1.111111111111110980e-02,-4.039366791791767497e-01
1.126126126126126073e-02,-4.109164445232309504e-01
1.141141141141141166e-02,-4.173994326492227458e-01
1.156156156156156085e-02,-4.234131831668719315e-01
1.171171171171171178e-02,-4.289837330200061416e-01
1.186186186186186098e-02,-4.341356983828656979e-01
1.201201201201201191e-02,-4.388923520933882827e-01
1.216216216216216110e-02,-4.432756968666726749e-01
1.231231231231231203e-02,-4.473065345186135744e-01
1.246246246246246123e-02,-4.510045314170909592e-01
1.261261261261261216e-02,-4.543882803663699121e-01
1.276276276276276135e-02,-4.574753591189875124e-01
1.291291291291291228e-02,-4.602823856989974871e-01
1.306306306306306321e-02,-4.628250707103163109e-01
1.321321321321321240e-02,-4.651182667944322446e-01
1.336336336336336333e-02,-4.671760153928712356e-01
1.351351351351351253e-02,-4.690115909612977418e-01
1.366366366366366346e-02,-4.706375427740709938e-01
1.381381381381381265e-02,-4.720657344506520303e-01
1.396396396396396358e-02,-4.733073813279258246e-01
1.411411411411411278e-02,-4.743730857958858849e-01
1.426426426426426371e-02,-4.752728707076485648e-01
1.441441441441441290e-02,-4.760162109687282594e-01
1.456456456456456383e-02,-4.766120634048096605e-01
1.471471471471471476e-02,-4.770688950018389107e-01
1.486486486486486396e-02,-4.773947096071076146e-01
1.501501501501501488e-02,-4.775970731752252618e-01
1.516516516516516408e-02,-4.776831376382695282e-01
1.531531531531531501e-02,-4.776596634750838177e-01
1.546546546546546420e-02,-4.775330410506182233e-01
1.561561561561561513e-02,-4.773093107923482847e-01
1.576576576576576433e-02,-4.769941822671341924e-01
1.591591591591591526e-02,-4.765930522184405049e-01
1.606606606606606619e-02,-4.761110216206017043e-01
1.621621621621621712e-02,-4.755529118036445624e-01
1.636636636636636458e-02,-4.749232796993769767e-01
1.651651651651651551e-02,-4.742264322565894474e-01
1.666666666666666644e-02,-4.734664400706734000e-01
1.681681681681681736e-02,-4.726471502704541194e-01
1.696696696696696482e-02,-4.717721987027108099e-01
1.711711711711711575e-02,-4.708450214526926914e-01
1.726726726726726668e-02,-4.698688657367622312e-01
1.741741741741741761e-02,-4.688468002014261060e-01
1.756756756756756507e-02,-4.677817246610835866e-01
1.771771771771771600e-02,-4.666763793050847653e-01
1.786786786786786693e-02,-4.655333534030230425e-01
1.801801801801801786e-02,-4.643550935355822418e-01
1.816816816816816879e-02,-4.631439113768447413e-01
1.831831831831831625e-02,-4.619019910524375661e-01
1.846846846846846718e-02,-4.606313960966943455e-01
1.861861861861861811e-02,-4.593340760306379167e-01
1.876876876876876904e-02,-4.580118725814745773e-01
1.891891891891891650e-02,-4.566665255631292553e-01
1.906906906906906743e-02,-4.552996784362797200e-01
1.921921921921921836e-02,-4.539128835653887251e-01
1.936936936936936929e-02,-4.525076071892115692e-01
1.951951951951952022e-02,-4.510852341204056870e-01
1.966966966966966768e-02,-4.496470721890162281e-01
1.981981981981981861e-02,-4.481943564437766980e-01
1.996996996996996954e-02,-4.467282531244549659e-01
2.012012012012012047e-02,-4.452498634176578207e-01
2.027027027027026793e-02,-4.437602270079850086e-01
2.042042042042041886e-02,-4.422603254355994551e-01
2.057057057057056978e-02,-4.407510852708131921e-01
2.072072072072072071e-02,-4.392333811156525769e-01
2.087087087087087164e-02,-4.377080384418281511e-01
2.102102102102101910e-02,-4.361758362740104644e-01
2.117117117117117003e-02,-4.346375097268619925e-01
2.132132132132132096e-02,-4.330937524038063202e-01
2.147147147147147189e-02,-4.315452186650166055e-01
2.162162162162161935e-02,-4.299925257718157923e-01
2.177177177177177028e-02,-4.284362559141712268e-01
2.192192192192192121e-02,-4.268769581276998792e-01
2.207207207207207214e-02,-4.253151501061509521e-01
2.222222222222221960e-02,-4.237513199151301535e-01
2.237237237237237053e-02,-4.221859276123698379e-01
2.252252252252252146e-02,-4.206194067797142111e-01
2.267267267267267239e-02,-4.190521659715820135e-01
2.282282282282282332e-02,-4.174845900844541546e-01
2.297297297297297078e-02,-4.159170416517383728e-01
2.312312312312312171e-02,-4.143498620680325928e-01
2.327327327327327264e-02,-4.127833727466345692e-01
2.342342342342342357e-02,-4.112178762139819810e-01
2.357357357357357103e-02,-4.096536571443962771e-01
2.372372372372372196e-02,-4.080909833384342988e-01
2.387387387387387289e-02,-4.065301066478976821e-01
2.402402402402402382e-02,-4.049712638504097129e-01
2.417417417417417475e-02,-4.034146774763129883e-01
2.432432432432432221e-02,-4.018605565904724841e-01
2.447447447447447313e-02,-4.003090975314655964e-01
2.462462462462462406e-02,-3.987604846104702006e-01
2.477477477477477499e-02,-3.972148907720178812e-01
2.492492492492492245e-02,-3.956724782187563960e-01
2.507507507507507338e-02,-3.941333990021114175e-01
2.522522522522522431e-02,-3.925977955807589126e-01
2.537537537537537524e-02,-3.910658013486312257e-01
2.552552552552552270e-02,-3.895375411341301941e-01
2.567567567567567363e-02,-3.880131316721175949e-01
2.582582582582582456e-02,-3.864926820501661808e-01
2.597597597597597549e-02,-3.849762941304533115e-01
2.612612612612612642e-02,-3.834640629486649743e-01
2.627627627627627388e-02,-3.819560770911358816e-01
