t, s
0.000000000000000000e+00,1.000000000000000000e+00
1.201201201201201175e-04,9.880885371994817534e-01
2.402402402402402349e-04,9.764899343070100324e-01
3.603603603603603659e-04,9.653666091033552554e-01
4.804804804804804698e-04,9.548722315838606978e-01
6.006006006006005737e-04,9.451496270407613309e-01
7.207207207207207318e-04,9.363288595365678590e-01
8.408408408408407815e-04,9.285255210694234318e-01
9.609609609609609396e-04,9.218392484826448685e-01
1.081081081081081098e-03,9.163524866448516937e-01
1.201201201201201147e-03,9.121295126779800366e-01
1.321321321321321197e-03,9.092157320944481702e-01
1.441441441441441464e-03,9.076372536798762436e-01
1.561561561561561513e-03,9.074007458830247730e-01
1.681681681681681563e-03,9.084935734089676362e-01
1.801801801801801830e-03,9.108842087130928356e-01
1.921921921921921879e-03,9.145229092187987519e-01
2.042042042042042146e-03,9.193426473847644553e-01
2.162162162162162195e-03,9.252602772792434260e-01
2.282282282282282245e-03,9.321779181259332026e-01
2.402402402402402295e-03,9.399845324110466249e-01
2.522522522522522345e-03,9.485576736216497773e-01
2.642642642642642394e-03,9.577653765529792196e-01
2.762762762762762878e-03,9.674681614032384358e-01
2.882882882882882927e-03,9.775211215879887616e-01
3.003003003003002977e-03,9.877760643659598827e-01
3.123123123123123027e-03,9.980836729806105145e-01
3.243243243243243076e-03,1.008295659087230289e+00
3.363363363363363126e-03,1.018266874747426387e+00
3.483483483483483609e-03,1.027857354218828512e+00
3.603603603603603659e-03,1.036934257129033421e+00
3.723723723723723709e-03,1.045373686374742928e+00
3.843843843843843758e-03,1.053062356199957694e+00
3.963963963963964242e-03,1.059899088346407892e+00
4.084084084084084292e-03,1.065796116896267964e+00
4.204204204204204341e-03,1.070680185399149886e+00
4.324324324324324391e-03,1.074493423046867013e+00
4.444444444444444441e-03,1.077193989982712985e+00
4.564564564564564490e-03,1.078756485257580167e+00
4.684684684684684540e-03,1.079172114422863205e+00
4.804804804804804590e-03,1.078448617229303075e+00
4.924924924924924639e-03,1.076609959331878308e+00
5.045045045045044689e-03,1.073695795234967942e+00
5.165165165165164739e-03,1.069760712902679600e+00
5.285285285285284788e-03,1.064873273462469960e+00
5.405405405405405705e-03,1.059114862205206231e+00
5.525525525525525755e-03,1.052578369594575847e+00
5.645645645645645805e-03,1.045366723210485072e+00
5.765765765765765855e-03,1.037591293436659123e+00
5.885885885885885904e-03,1.029370197238947515e+00
6.006006006006005954e-03,1.020826525550019959e+00
6.126126126126126004e-03,1.012086520565836700e+00
6.246246246246246053e-03,1.003277729662714446e+00
6.366366366366366103e-03,9.945271626598211068e-01
6.486486486486486153e-03,9.859594787849057518e-01
6.606606606606606202e-03,9.776952289608501490e-01
6.726726726726726252e-03,9.698491779322603312e-01
6.846846846846846302e-03,9.625287293148231393e-01
6.966966966966967219e-03,9.558324749001431142e-01
7.087087087087087268e-03,9.498488875140601584e-01
7.207207207207207318e-03,9.446551744395865757e-01
7.327327327327327368e-03,9.403163059123448297e-01
7.447447447447447418e-03,9.368842305152043082e-01
7.567567567567567467e-03,9.343972864802084777e-01
7.687687687687687517e-03,9.328798149919038663e-01
7.807807807807807567e-03,9.323419786196840420e-01
7.927927927927928484e-03,9.327797850308863215e-01
8.048048048048048533e-03,9.341753131938598242e-01
8.168168168168168583e-03,9.364971364128188425e-01
8.288288288288288633e-03,9.397009337841792931e-01
8.408408408408408682e-03,9.437302790653090412e-01
8.528528528528528732e-03,9.485175935365806055e-01
8.648648648648648782e-03,9.539852472485973456e-01
8.768768768768768831e-03,9.600467911071598470e-01
8.888888888888888881e-03,9.666083005837726727e-01
9.009009009009008931e-03,9.735698104698207178e-01
9.129129129129128981e-03,9.808268190340645454e-01
9.249249249249249030e-03,9.882718392072750158e-01
9.369369369369369080e-03,9.957959740113191405e-01
9.489489489489489130e-03,1.003290493374736414e+00
9.609609609609609179e-03,1.010648389729902563e+00
9.729729729729729229e-03,1.017765890360752268e+00
9.849849849849849279e-03,1.024543905352637285e+00
9.969969969969969328e-03,1.030889391170941582e+00
1.009009009009008938e-02,1.036716611342192174e+00
1.021021021021020943e-02,1.041948277406654633e+00
1.033033033033032948e-02,1.046516555227510414e+00
1.045045045045044953e-02,1.050363923848607550e+00
1.057057057057056958e-02,1.053443876357986975e+00
1.069069069069068963e-02,1.055721454603587128e+00
1.081081081081081141e-02,1.057173612084998826e+00
1.093093093093093146e-02,1.057789401874343227e+00
1.105105105105105151e-02,1.057569988963433127e+00
1.117117117117117156e-02,1.056528488956715917e+00
1.129129129129129161e-02,1.054689637494230059e+00
1.141141141141141166e-02,1.052089297161294956e+00
1.153153153153153171e-02,1.048773810889034097e+00
1.165165165165165176e-02,1.044799212941377453e+00
1.177177177177177181e-02,1.040230310491828902e+00
1.189189189189189186e-02,1.035139650491853525e+00
1.201201201201201191e-02,1.029606388000438910e+00
1.213213213213213196e-02,1.023715073362902128e+00
1.225225225225225201e-02,1.017554376581919939e+00
