t, s
0.000000000000000000e+00,0.000000000000000000e+00
1.601601601601601498e-05,-3.192741943605687156e-05
3.203203203203202997e-05,-1.271651035321046759e-04
4.804804804804804156e-05,-2.849009759309518693e-04
6.406406406406405993e-05,-5.043293165753456658e-04
8.008008008008007830e-05,-7.846507321249104102e-04
9.609609609609608312e-05,-1.125072126346581382e-03
1.121121121121121015e-04,-1.524806670480754545e-03
1.281281281281281199e-04,-1.983073773585353021e-03
1.441441441441441247e-04,-2.499099052859977532e-03
1.601601601601601566e-04,-3.072114303952290775e-03
1.761761761761761614e-04,-3.701357471248745059e-03
1.921921921921921662e-04,-4.386072618151757620e-03
2.082082082082081982e-04,-5.125509897345385812e-03
2.242242242242242030e-04,-5.918925521051557163e-03
2.402402402402402349e-04,-6.765581731278862664e-03
2.562562562562562397e-04,-7.664746770065899995e-03
2.722722722722722716e-04,-8.615694849721137333e-03
2.882882882882882494e-04,-9.617706123061247128e-03
3.043043043043042813e-04,-1.067006665364979810e-02
3.203203203203203132e-04,-1.177206838603823448e-02
3.363363363363362909e-04,-1.292300911601097779e-02
3.523523523523523228e-04,-1.412219246083651000e-02
3.683683683683683548e-04,-1.536892782952625595e-02
3.843843843843843325e-04,-1.666253039310306230e-02
4.004004004004003644e-04,-1.800232105488103890e-02
4.164164164164163963e-04,-1.938762642075850945e-02
4.324324324324324282e-04,-2.081777876952581319e-02
4.484484484484484060e-04,-2.229211602318965230e-02
4.644644644644644379e-04,-2.380998171731565569e-02
4.804804804804804698e-04,-2.537072497139081576e-02
4.964964964964965017e-04,-2.697370045920747042e-02
5.125125125125124794e-04,-2.861826837927039860e-02
5.285285285285284572e-04,-3.030379442522861816e-02
5.445445445445445433e-04,-3.202964975633351696e-02
5.605605605605605210e-04,-3.379521096792480889e-02
5.765765765765764987e-04,-3.559986006194580666e-02
5.925925925925925849e-04,-3.744298441748963868e-02
6.086086086086085626e-04,-3.932397676137776993e-02
6.246246246246245403e-04,-4.124223513877235681e-02
6.406406406406406264e-04,-4.319716288382387942e-02
6.566566566566566041e-04,-4.518816859035539035e-02
6.726726726726725818e-04,-4.721466608258490655e-02
6.886886886886886680e-04,-4.927607438588724881e-02
7.047047047047046457e-04,-5.137181769759668892e-02
7.207207207207206234e-04,-5.350132535785177140e-02
7.367367367367367095e-04,-5.566403182048359349e-02
7.527527527527526872e-04,-5.785937662394893127e-02
7.687687687687686650e-04,-6.008680436230934979e-02
7.847847847847847511e-04,-6.234576465625771280e-02
8.008008008008007288e-04,-6.463571212419323697e-02
8.168168168168168149e-04,-6.695610635334633964e-02
8.328328328328327926e-04,-6.930641187095448741e-02
8.488488488488487704e-04,-7.168609811549025990e-02
8.648648648648648565e-04,-7.409463940794276671e-02
8.808808808808808342e-04,-7.653151492315354854e-02
8.968968968968968119e-04,-7.899620866120812823e-02
9.129129129129128981e-04,-8.148820941888440528e-02
9.289289289289288758e-04,-8.400701076115874022e-02
9.449449449449448535e-04,-8.655211099277108910e-02
9.609609609609609396e-04,-8.912301312985015933e-02
9.769769769769768089e-04,-9.171922487159947512e-02
9.929929929929930035e-04,-9.434025857204565713e-02
1.009009009009008981e-03,-9.698563121184963776e-02
1.025025025025024959e-03,-9.965486437018207522e-02
1.041041041041040937e-03,-1.023474841966637294e-01
1.057057057057056914e-03,-1.050630213833718546e-01
1.073073073073073109e-03,-1.078010111369135798e-01
1.089089089089089087e-03,-1.105609931505671245e-01
1.105105105105105064e-03,-1.133425115764918056e-01
