t, s
0.000000000000000000e+00,0.000000000000000000e+00
2.502502502502502481e-04,3.029185693226863277e-03
5.005005005005004962e-04,1.172699714212895906e-02
7.507507507507507442e-04,2.554829687737378285e-02
1.001001001001000992e-03,4.399682042025335194e-02
1.251251251251251240e-03,6.662081669882198576e-02
1.501501501501501488e-03,9.300907720273032808e-02
1.751751751751751737e-03,1.227873192143843634e-01
2.002002002002001985e-03,1.556148915447653769e-01
2.252252252252252233e-03,1.911817740173675784e-01
2.502502502502502481e-03,2.292058445078183349e-01
2.752752752752752729e-03,2.694303896822214384e-01
3.003003003003002977e-03,3.116218377044960297e-01
3.253253253253253225e-03,3.555676931205372648e-01
3.503503503503503473e-03,4.010746558918165117e-01
3.753753753753753721e-03,4.479669081584676804e-01
4.004004004004003969e-03,4.960845537760111834e-01
4.254254254254253784e-03,5.452821970034200660e-01
4.504504504504504465e-03,5.954276479348804552e-01
4.754754754754755147e-03,6.464007433739379360e-01
5.005005005005004962e-03,6.980922728564189494e-01
5.255255255255254776e-03,7.504030004463513315e-01
5.505505505505505458e-03,8.032427737651166577e-01
5.755755755755756140e-03,8.565297124755174574e-01
6.006006006006005954e-03,9.101894691360106204e-01
6.256256256256255768e-03,9.641545559720744452e-01
6.506506506506506450e-03,1.018363731687069285e+00
6.756756756756757132e-03,1.072761442959038414e+00
7.007007007007006946e-03,1.127297315747253448e+00
7.257257257257256761e-03,1.181925691967093961e+00
7.507507507507507442e-03,1.236605207487881053e+00
7.757757757757758124e-03,1.291298407768995737e+00
8.008008008008007939e-03,1.345971397778151557e+00
8.258258258258257753e-03,1.400593523134957108e+00
8.508508508508507567e-03,1.455137079695463465e+00
8.758758758758759116e-03,1.509577049041662011e+00
9.009009009009008931e-03,1.563890857566024861e+00
9.259259259259258745e-03,1.618058157047146173e+00
9.509509509509510294e-03,1.672060624800146167e+00
9.759759759759760109e-03,1.725881781656365854e+00
1.001001001001000992e-02,1.779506826182523982e+00
1.026026026026025974e-02,1.832922483691265869e+00
1.051051051051050955e-02,1.886116868724147411e+00
1.076076076076076110e-02,1.939079359805713443e+00
1.101101101101101092e-02,1.991800485374439766e+00
1.126126126126126073e-02,2.044271819893881403e+00
1.151151151151151228e-02,2.096485889236241018e+00
1.176176176176176209e-02,2.148436084511504252e+00
1.201201201201201191e-02,2.200116583589034835e+00
1.226226226226226172e-02,2.251522279625653766e+00
1.251251251251251154e-02,2.302648715975406102e+00
1.276276276276276309e-02,2.353492026911928825e+00
1.301301301301301290e-02,2.404048883645073076e+00
1.326326326326326271e-02,2.454316445159652638e+00
1.351351351351351426e-02,2.504292313446292884e+00
1.376376376376376408e-02,2.553974492732700607e+00
1.401401401401401389e-02,2.603361352358587233e+00
1.426426426426426371e-02,2.652451592969303551e+00
1.451451451451451352e-02,2.701244215732219178e+00
1.476476476476476507e-02,2.749738494306250391e+00
1.501501501501501488e-02,2.797933949319008740e+00
1.526526526526526470e-02,2.845830325127909344e+00
1.551551551551551625e-02,2.893427568661539162e+00
1.576576576576576433e-02,2.940725810155740749e+00
1.601601601601601588e-02,2.987725345615408923e+00
1.626626626626626743e-02,3.034426620848078571e+00
1.651651651651651551e-02,3.080830216929097087e+00
1.676676676676676706e-02,3.126936836970676037e+00
1.701701701701701513e-02,3.172747294078514191e+00
1.726726726726726668e-02,3.218262500390042025e+00
1.751751751751751823e-02,3.263483457097797746e+00
1.776776776776776631e-02,3.308411245370042053e+00
1.801801801801801786e-02,3.353047018088551212e+00
1.826826826826826941e-02,3.397391992330679678e+00
1.851851851851851749e-02,3.441447442529278700e+00
1.876876876876876904e-02,3.485214694249970879e+00
1.901901901901902059e-02,3.528695118530694508e+00
1.926926926926926867e-02,3.571890126733320958e+00
1.951951951951952022e-02,3.614801165861651011e+00
1.976976976976976830e-02,3.657429714304140767e+00
2.002002002002001985e-02,3.699777277963447908e+00
2.027027027027027140e-02,3.741845386738253953e+00
2.052052052052051948e-02,3.783635591325905878e+00
2.077077077077077102e-02,3.825149460317220473e+00
2.102102102102101910e-02,3.866388577557358097e+00
2.127127127127127065e-02,3.907354539748988387e+00
2.152152152152152220e-02,3.948048954276102585e+00
2.177177177177177028e-02,3.988473437228747365e+00
2.202202202202202183e-02,4.028629611610723416e+00
2.227227227227227338e-02,4.068519105713884976e+00
2.252252252252252146e-02,4.108143551644143798e+00
2.277277277277277301e-02,4.147504583985594628e+00
2.302302302302302456e-02,4.186603838590426285e+00
2.327327327327327264e-02,4.225442951483324272e+00
2.352352352352352419e-02,4.264023557870141090e+00
2.377377377377377227e-02,4.302347291241478189e+00
2.402402402402402382e-02,4.340415782562677016e+00
2.427427427427427536e-02,4.378230659542468928e+00
2.452452452452452344e-02,4.415793545973231815e+00
2.477477477477477499e-02,4.453106061136423044e+00
2.502502502502502307e-02,4.490169819267332940e+00
2.527527527527527462e-02,4.526986429073828866e+00
2.552552552552552617e-02,4.563557493304238655e+00
2.577577577577577425e-02,4.599884608359937843e+00
2.602602602602602580e-02,4.635969363948630573e+00
2.627627627627627735e-02,4.671813342774638222e+00
2.652652652652652543e-02,4.707418120262867767e+00
2.677677677677677698e-02,4.742785264313401861e+00
2.702702702702702853e-02,4.777916335083962629e+00
2.727727727727727661e-02,4.812812884797696533e+00
2.752752752752752816e-02,4.847476457574004804e+00
2.777777777777777624e-02,4.881908589280317123e+00
2.802802802802802778e-02,4.916110807402893634e+00
2.827827827827827933e-02,4.950084630934938446e+00
2.852852852852852741e-02,4.983831570280423229e+00
2.877877877877877896e-02,5.017353127172192728e+00
2.902902902902902704e-02,5.050650794603044780e+00
2.927927927927927859e-02,5.083726056768568036e+00
2.952952952952953014e-02,5.116580389020684905e+00
2.977977977977977822e-02,5.149215257830873860e+00
3.003003003003002977e-02,5.181632120762200699e+00
3.028028028028028132e-02,5.213832426449307000e+00
3.053053053053052940e-02,5.245817614585642552e+00
3.078078078078078095e-02,5.277589115917225016e+00
3.103103103103103250e-02,5.309148352242338831e+00
3.128128128128128405e-02,5.340496736416589840e+00
3.153153153153152866e-02,5.371635672362802261e+00
3.178178178178178021e-02,5.402566555085305922e+00
3.203203203203203175e-02,5.433290770688168791e+00
3.228228228228228330e-02,5.463809696397002647e+00
3.253253253253253485e-02,5.494124700583977727e+00
3.278278278278277946e-02,5.524237142795729305e+00
3.303303303303303101e-02,5.554148373783872827e+00
3.328328328328328256e-02,5.583859735537846092e+00
3.353353353353353411e-02,5.613372561319847520e+00
3.378378378378378566e-02,5.642688175701642272e+00
3.403403403403403027e-02,5.671807894603052347e+00
3.428428428428428182e-02,5.700733025331922832e+00
3.453453453453453337e-02,5.729464866625418651e+00
3.478478478478478492e-02,5.758004708692500806e+00
3.503503503503503647e-02,5.786353833257429358e+00
3.528528528528528802e-02,5.814513513604179451e+00
3.553553553553553263e-02,5.842485014621664696e+00
3.578578578578578417e-02,5.870269592849646223e+00
3.603603603603603572e-02,5.897868496525248361e+00
3.628628628628628727e-02,5.925282965629988574e+00
3.653653653653653882e-02,5.952514231937251488e+00
3.678678678678678343e-02,5.979563519060127952e+00
3.703703703703703498e-02,6.006432042499560531e+00
3.728728728728728653e-02,6.033121009692739456e+00
3.753753753753753808e-02,6.059631620061689539e+00
3.778778778778778963e-02,6.085965065062012513e+00
3.803803803803804118e-02,6.112122528231724417e+00
3.828828828828828579e-02,6.138105185240165795e+00
3.853853853853853734e-02,6.163914203936940339e+00
3.878878878878878889e-02,6.189550744400849069e+00
3.903903903903904044e-02,6.215015958988800548e+00
3.928928928928929198e-02,6.240310992384656252e+00
3.953953953953953659e-02,6.265436981647998671e+00
3.978978978978978814e-02,6.290395056262797269e+00
4.004004004004003969e-02,6.315186338185958093e+00
4.029029029029029124e-02,6.339811941895721503e+00
4.054054054054054279e-02,6.364272974439921349e+00
4.079079079079078740e-02,6.388570535484062951e+00
4.104104104104103895e-02,6.412705717359230562e+00
4.129129129129129050e-02,6.436679605109794089e+00
4.154154154154154205e-02,6.460493276540915097e+00
4.179179179179179360e-02,6.484147802265849414e+00
4.204204204204203821e-02,6.507644245753019696e+00
4.229229229229228976e-02,6.530983663372862402e+00
4.254254254254254131e-02,6.554167104444452718e+00
4.279279279279279286e-02,6.577195611281876353e+00
4.304304304304304440e-02,6.600070219240368630e+00
4.329329329329329595e-02,6.622791956762201337e+00
4.354354354354354056e-02,6.645361845422317337e+00
4.379379379379379211e-02,6.667780899973712927e+00
4.404404404404404366e-02,6.690050128392559969e+00
4.429429429429429521e-02,6.712170531923071337e+00
4.454454454454454676e-02,6.734143105122103456e+00
4.479479479479479137e-02,6.755968835903491509e+00
4.504504504504504292e-02,6.777648705582126176e+00
4.529529529529529447e-02,6.799183688917759483e+00
4.554554554554554602e-02,6.820574754158547748e+00
4.579579579579579757e-02,6.841822863084324524e+00
4.604604604604604912e-02,6.862928971049604421e+00
4.629629629629629373e-02,6.883894027026326690e+00
4.654654654654654528e-02,6.904718973646324365e+00
4.679679679679679682e-02,6.925404747243524284e+00
4.704704704704704837e-02,6.945952277895890425e+00
4.729729729729729992e-02,6.966362489467088359e+00
4.754754754754754453e-02,6.986636299647888571e+00
4.779779779779779608e-02,7.006774619997311326e+00
4.804804804804804763e-02,7.026778355983491764e+00
4.829829829829829918e-02,7.046648407024297178e+00
4.854854854854855073e-02,7.066385666527666309e+00
4.879879879879879534e-02,7.085991021931704381e+00
4.904904904904904689e-02,7.105465354744496587e+00
4.929929929929929844e-02,7.124809540583681766e+00
4.954954954954954999e-02,7.144024449215750749e+00
4.979979979979980154e-02,7.163110944595103113e+00
5.005005005005004615e-02,7.182069884902831269e+00
5.030030030030029770e-02,7.200902122585265630e+00
5.055055055055054924e-02,7.219608504392250659e+00
5.080080080080080079e-02,7.238189871415186438e+00
5.105105105105105234e-02,7.256647059124805565e+00
5.130130130130130389e-02,7.274980897408699576e+00
5.155155155155154850e-02,7.293192210608613557e+00
5.180180180180180005e-02,7.311281817557472529e+00
5.205205205205205160e-02,7.329250531616181341e+00
5.230230230230230315e-02,7.347099160710168775e+00
5.255255255255255470e-02,7.364828507365695387e+00
5.280280280280279931e-02,7.382439368745914443e+00
5.305305305305305086e-02,7.399932536686702811e+00
5.330330330330330241e-02,7.417308797732245829e+00
5.355355355355355396e-02,7.434568933170385030e+00
5.380380380380380551e-02,7.451713719067741160e+00
5.405405405405405705e-02,7.468743926304591163e+00
5.430430430430430166e-02,7.485660320609518692e+00
5.455455455455455321e-02,7.502463662593834570e+00
5.480480480480480476e-02,7.519154707785769887e+00
5.505505505505505631e-02,7.535734206664432833e+00
5.530530530530530786e-02,7.552202904693551488e+00
5.555555555555555247e-02,7.568561542354976801e+00
5.580580580580580402e-02,7.584810855181983058e+00
5.605605605605605557e-02,7.600951573792320559e+00
5.630630630630630712e-02,7.616984423921068448e+00
5.655655655655655867e-02,7.632910126453261057e+00
5.680680680680680328e-02,7.648729397456299317e+00
5.705705705705705483e-02,7.664442948212133899e+00
5.730730730730730638e-02,7.680051485249254739e+00
5.755755755755755793e-02,7.695555710374444303e+00
5.780780780780780947e-02,7.710956320704340783e+00
5.805805805805805409e-02,7.726254008696771258e+00
5.830830830830830563e-02,7.741449462181888563e+00
5.855855855855855718e-02,7.756543364393096773e+00
5.880880880880880873e-02,7.771536393997765302e+00
5.905905905905906028e-02,7.786429225127745823e+00
5.930930930930931183e-02,7.801222527409679586e+00
5.955955955955955644e-02,7.815916965995105770e+00
5.980980980980980799e-02,7.830513201590363792e+00
6.006006006006005954e-02,7.845011890486307315e+00
6.031031031031031109e-02,7.859413684587801541e+00
6.056056056056056264e-02,7.873719231443040201e+00
